PAU8,YAL068C
PRY3,YJL078C
ICS3,YJL077C
NET1,YJL076W
APQ13,YJL075C
SMC3,YJL074C
JEM1,YJL073W
PSF2,YJL072C
ARG2,YJL071W
UTP18,YJL069C
MPM1,YJL066C
DLS1,YJL065C
MRPL8,YJL063C
COA3,YJL062W-A
LAS21,YJL062W
NUP82,YJL061W
BNA3,YJL060W
YHC3,YJL059W
BIT61,YJL058C
IKS1,YJL057C
ZAP1,YJL056C
TIM54,YJL054W
PEP8,YJL053W
TDH1,YJL052W
IRC8,YJL051W
MTR4,YJL050W
CHM7,YJL049W
UBX6,YJL048C
SNR60,snR60
RTT101,YJL047C
AIM22,YJL046W
SUP7,tY(GUA)J1
GYP6,YJL044C
MHP1,YJL042W
NSP1,YJL041W
NUP192,YJL039C
LOH1,YJL038C
IRC18,YJL037W
SNX4,YJL036W
TAD2,YJL035C
KAR2,YJL034W
HCA4,YJL033W
BET4,YJL031C
MAD2,YJL030W
VPS53,YJL029C
EMT5,tM(CAU)J1
RNR2,YJL026W
RRN7,YJL025W
APS3,YJL024C
PET130,YJL023C
BBC1,YJL020C
MPS3,YJL019W
TPH3,YJL016W
CCT3,YJL014W
MAD3,YJL013C
VTC4,YJL012C
RPC17,YJL011C
NOP9,YJL010C
CCT8,YJL008C
EMT3,tM(CAU)J2
CTK2,YJL006C
SUP51,tL(UAA)J
CYR1,YJL005W
SYS1,YJL004C
COX16,YJL003W
OST1,YJL002C
PRE3,YJL001W
AVT1,YJR001W
MPP10,YJR002W
MRX12,YJR003C
SAG1,YJR004C
APL1,"YJR005W,YNL270C"
LSO1,YJR005C-A
POL31,YJR006W
SUI2,YJR007W
MHO1,YJR008W
TDH2,YJR009C
MET3,YJR010W
SPC1,YJR010C-A
GPI14,YJR013W
TMA22,YJR014W
ILV3,YJR016C
ESS1,YJR017C
TES1,YJR019C
REC107,YJR021C
LSM8,YJR022W
MDE1,YJR024C
BNA1,YJR025C
RBH2,"YJR030C,YJR030C"
GEA1,YJR031C
CPR7,YJR032W
RAV1,YJR033C
PET191,YJR034W
RAD26,YJR035W
HUL4,YJR036C
GEF1,YJR040W
URB2,YJR041C
NUP85,YJR042W
POL32,YJR043C
IMT3,tM(CAU)J3
VPS55,YJR044C
SSC1,"YGL167C,YJR045C"
TAH11,YJR046W
ANB1,YJR047C
CYC1,YJR048W
UTR1,YJR049C
ISY1,YJR050W
OSM1,YJR051W
SUF23,tG(GCC)J2
RAD7,YJR052W
BFA1,YJR053W
KCH1,YJR054W
HSX1,tR(CCU)J
HIT1,YJR055W
SUP4,tY(GUA)J2
CDC8,YJR057W
APS2,YJR058C
PTK2,YJR059W
CBF1,YJR060W
NTA1,YJR062C
RPA12,YJR063W
CCT5,YJR064W
ARP3,YJR065C
TOR1,YJR066W
YAE1,YJR067C
RFC2,YJR068W
HAM1,YJR069C
LIA1,YJR070C
NPA3,YJR072C
OPI3,YJR073C
MOG1,YJR074W
HOC1,YJR075W
CDC11,YJR076C
MIR1,YJR077C
BNA2,YJR078W
AIM24,YJR080C
EAF6,YJR082C
ACF4,YJR083C
STE18,YJR086W
EMC2,YJR088C
BIR1,YJR089W
GRR1,YJR090C
JSN1,YJR091C
BUD4,YJR092W
FIP1,YJR093C
IME1,YJR094C
IRT1,IRT1
RPL43B,YJR094W-A
SFC1,YJR095W
JJJ3,YJR097W
YUH1,YJR099W
AIM25,YJR100C
RSM26,YJR101W
VPS25,YJR102C
URA8,YJR103W
SOD1,YJR104C
ADO1,YJR105W
ECM27,YJR106W
LIH1,YJR107W
ABM1,YJR108W
CPA2,YJR109C
YMR1,YJR110W
PXP2,YJR111C
NNF1,YJR112W
RSM7,YJR113C
TDA4,YJR116W
STE24,YJR117W
ILM1,YJR118C
JHD2,YJR119C
ATP2,YJR121W
IBA57,YJR122W
RPS5,YJR123W
ENT3,YJR125C
VPS70,YJR126C
RSF2,YJR127C
SNR3,snR3
EFM3,YJR129C
STR2,YJR130C
MNS1,YJR131W
NMD5,YJR132W
XPT1,YJR133W
SGM1,YJR134C
MCM22,YJR135C
TIM8,YJR135W-A
TTI2,YJR136C
MET5,YJR137C
IML1,YJR138W
HOM6,YJR139C
HIR3,YJR140C
IPA1,YJR141W
PMT4,YJR143C
MGM101,YJR144W
RPS4A,YJR145C
HMS2,YJR147W
BAT2,YJR148W
DAN1,YJR150C
DAN4,YJR151C
DAL5,YJR152W
PGU1,YJR153W
AAD10,YJR155W
THI11,YJR156C
HXT16,YJR158W
SOR1,YJR159W
MPH3,YJR160C
COS5,YJR161C
PAU16,YKL224C
MCH2,YKL221W
FRE2,YKL220C
COS9,YKL219W
SRY1,YKL218C
JEN1,YKL217W
URA1,YKL216W
OXP1,YKL215C
YRA2,YKL214C
DOA1,YKL213C
SAC1,YKL212W
TRP3,YKL211C
SNR64,snR64
UBA1,YKL210W
STE6,YKL209C
TRT2,tT(CGU)K
CBT1,YKL208W
EMC3,YKL207W
ADD66,YKL206C
LOS1,YKL205W
EAP1,YKL204W
TOR2,YKL203C
MNN4,YKL201C
PTK1,YKL198C
PEX1,YKL197C
YKT6,YKL196C
MIA40,YKL195W
MST1,YKL194C
SDS22,YKL193C
ACP1,YKL192C
DPH2,YKL191W
CNB1,YKL190W
HYM1,YKL189W
PXA2,YKL188C
FAT3,YKL187C
MTR2,YKL186C
ASH1,YKL185W
SPE1,YKL184W
LOT5,YKL183W
FAS1,YKL182W
PRS1,YKL181W
RPL17A,YKL180W
COY1,YKL179C
STE3,YKL178C
LST4,YKL176C
ZRT3,YKL175W
TPO5,YKL174C
SNU114,YKL173W
EBP2,YKL172W
NNK1,YKL171W
MRPL38,YKL170W
KKQ8,YKL168C
MRP49,YKL167C
TPK3,YKL166C
MCD4,YKL165C
PIR1,YKL164C
PIR3,YKL163W
KDX1,YKL161C
ELF1,YKL160W
RCN1,YKL159C
APE2,YKL157W
RPS27A,YKL156W
RSM22,YKL155C
SRP102,YKL154W
GPM1,YKL152C
NNR2,YKL151C
MCR1,YKL150W
DBR1,YKL149C
SDH1,"YJR159W,YKL148C"
AVT3,YKL146W
RPT1,YKL145W
RPC25,YKL144C
LTV1,YKL143W
MRP8,YKL142W
SDH3,YKL141W
TGL1,YKL140W
CTK1,YKL139W
HSK3,YKL138C-A
MRPL31,YKL138C
CMC1,YKL137W
APL2,YKL135C
OCT1,YKL134C
RMA1,YKL132C
SHE2,YKL130C
MYO3,YKL129C
PMU1,YKL128C
PGM1,YKL127W
YPK1,"YJL093C,YKL126W,YNL307C"
RRN3,YKL125W
SSH4,YKL124W
SRP21,YKL122C
DGR2,YKL121W
OAC1,YKL120W
VPH2,YKL119C
SBA1,YKL117W
PRR1,YKL116C
APN1,YKL114C
RAD27,YKL113C
ABF1,YKL112W
KTI12,YKL110C
HAP4,YKL109W
SLD2,YKL108W
AAT1,YKL106W
SEG2,YKL105C
GFA1,YKL104C
APE1,YKL103C
HSL1,YKL101W
YPF1,YKL100C
UTP11,YKL099C
MTC2,YKL098W
CWP2,YKL096W-A
CWP1,YKL096W
YJU2,YKL095W
YJU3,YKL094W
MBR1,YKL093W
BUD2,YKL092C
CUE2,YKL090W
MIF2,"YHR024C,YKL089W"
CAB3,YKL088W
CYT2,YKL087C
SRX1,YKL086W
MDH1,YKL085W
HOT13,YKL084W
RRP14,YKL082C
TEF4,YKL081W
SNR38,snR38
VMA5,YKL080W
SMY1,YKL079W
DHR2,YKL078W
PSY1,YKL076C
MUD2,YKL074C
LHS1,YKL073W
STB6,YKL072W
NUP100,YKL068W
YNK1,YKL067W
YET1,YKL065C
MNR2,YKL064W
MSN4,YKL062W
BLI1,YKL061W
FBA1,YKL060C
MPE1,YKL059C
TOA2,YKL058W
NUP120,YKL057C
TMA19,YKL056C
OAR1,YKL055C
DEF1,YKL054C
MDM35,YKL053C-A
ASK1,YKL052C
SFK1,YKL051W
CSE4,YKL049C
ELM1,YKL048C
ANR2,YKL047W
DCW1,YKL046C
PRI2,YKL045W
MMO1,YKL044W
PHD1,YKL043W
SPC42,YKL042W
VPS24,YKL041W
NFU1,YKL040C
PTM1,YKL039W
SNR69,snR69
RGT1,YKL038W
AIM26,YKL037W
UGP1,YKL035W
TUL1,YKL034W
TTI1,YKL033W
IXR1,YKL032C
MAE1,YKL029C
TFA1,YKL028W
TCD2,YKL027W
GPX1,YKL026C
PAN3,YKL025C
URA6,YKL024C
CDC16,YKL022C
MAK11,YKL021C
SPT23,YKL020C
RAM2,YKL019W
SWD2,YKL018W
HCS1,YKL017C
ATP7,YKL016C
PUT3,YKL015W
URB1,YKL014C
ARC19,YKL013C
PRP40,YKL012W
CCE1,YKL011C
UFD4,YKL010C
MRT4,YKL009W
LAC1,YKL008C
CAP1,YKL007W
SFT1,YKL006C-A
SNR87,snR87
RPL14A,YKL006W
BYE1,YKL005C
AUR1,YKL004W
MRP17,YKL003C
DID4,YKL002W
MET14,YKL001C
VPS1,YKR001C
PAP1,"YDR046C,YKR002W"
OSH6,YKR003W
ECM9,YKR004C
MRPL13,YKR006C
MEH1,YKR007W
RSC4,YKR008W
FOX2,YKR009C
TOF2,YKR010C
PRY2,YKR013W
YPT52,YKR014C
MIC60,YKR016W
HEL1,"YER176W,YKR017C"
IRS4,YKR019C
VPS51,YKR020W
ALY1,YKR021W
NTR2,YKR022C
DBP7,YKR024C
RPC37,YKR025W
GCN3,YKR026C
BCH2,YKR027W
SAP190,YKR028W
SET3,YKR029C
GMH1,YKR030W
SPO14,YKR031C
DAL80,YKR034W
DID2,YKR035W-A
OPI8,YKR035C
CAF4,YKR036C
SPC34,YKR037C
KAE1,YKR038C
GAP1,YKR039W
UTH1,YKR042W
SHB17,YKR043C
UIP5,YKR044W
PET10,YKR046C
NAP1,YKR048C
FMP46,YKR049C
TRK2,YKR050W
MRS4,YKR052C
YSR3,YKR053C
DYN1,YKR054C
RHO4,YKR055W
TRM2,YKR056W
RPS21A,YKR057W
GLG1,YKR058W
TIF1,YKR059W
UTP30,YKR060W
KTR2,YKR061W
SNR42,snR42
TFA2,YKR062W
LAS1,YKR063C
OAF3,"YFR028C,YKR064W"
PAM17,YKR065C
CCP1,YKR066C
GPT2,YKR067W
BET3,YKR068C
MET1,YKR069W
DRE2,YKR071C
SIS2,YKR072C
AIM29,YKR074W
ECM4,YKR076W
MSA2,YKR077W
TRZ1,YKR079C
MTD1,YKR080W
RPF2,YKR081C
NUP133,YKR082W
DAD2,YKR083C
HBS1,YKR084C
MRPL20,YKR085C
PRP16,YKR086W
OMA1,YKR087C
TVP38,YKR088C
TGL4,YKR089C
PXL1,YKR090W
SRL3,YKR091W
SRP40,YKR092C
PTR2,YKR093W
RPL40B,YKR094C
MLP1,"YKL161C,YKR095W"
PCC1,YKR095W-A
ESL2,YKR096W
PCK1,YKR097W
UBP11,YKR098C
BAS1,YKR099W
SKG1,YKR100C
SIR1,YKR101W
FLO10,YKR102W
NFT1,"YKR103W,YKR104W"
VBA5,YKR105C
GEX2,YKR106W
PAU18,YLL064C
AYT1,YLL063C
MHT1,YLL062C
MMP1,YLL061W
GTT2,YLL060C
JLP1,YLL057C
YCT1,YLL055W
AQY2,YLL052C
FRE6,YLL051C
COF1,YLL050C
LDB18,YLL049W
YBT1,YLL048C
RNP1,"YLL046C,YNL016W"
RPL8B,YLL045C
FPS1,YLL043W
ATG10,YLL042C
SDH2,YLL041C
VPS13,YLL040C
UBI4,YLL039C
ENT4,YLL038C
PRP19,YLL036C
GRC3,YLL035W
RIX7,YLL034C
IRC19,YLL033W
GPI13,YLL031C
RRT7,YLL030C
FRA1,YLL029W
TPO1,YLL028W
ISA1,YLL027W
HSP104,YLL026W
PAU17,YLL025W
SSA2,YLL024C
POM33,YLL023C
HIF1,YLL022C
SPA2,YLL021W
KNS1,YLL019C
COX19,YLL018C-A
DPS1,YLL018C
SDC25,"YLL016W,YLL017W"
BPT1,YLL015W
EMC6,YLL014W
PUF3,YLL013C
YEH1,YLL012W
SOF1,YLL011W
PSR1,YLL010C
COX17,YLL009C
DRS1,YLL008W
LMO1,YLL007C
MMM1,YLL006W
SPO75,YLL005C
ORC3,YLL004W
SFI1,YLL003W
RTT109,YLL002W
DNM1,YLL001W
NOC3,YLR002C
CMS1,"YLR003C,YNL307C"
THI73,YLR004C
SSL1,YLR005W
SSK1,YLR006C
NSE1,YLR007W
PAM18,YLR008C
RLP24,YLR009W
TEN1,YLR010C
LOT6,YLR011W
GAT3,YLR013W
PPR1,YLR014C
BRE2,YLR015W
PML1,YLR016C
MEU1,YLR017W
POM34,YLR018C
PSR2,YLR019W
YEH2,YLR020C
IRC25,YLR021W
SDO1,YLR022C
IZH3,YLR023C
UBR2,YLR024C
SNF7,YLR025W
SED5,YLR026C
AAT2,YLR027C
SNR30,snR30
ADE16,YLR028C
RPL15A,YLR029C
RAD5,YLR032W
RSC58,YLR033W
SMF3,YLR034C
MLH2,YLR035C
PAU23,YLR037C
COX12,YLR038C
RIC1,YLR039C
AFB1,YLR040C
TRX1,YLR043C
PDC1,YLR044C
STU2,YLR045C
FRE8,YLR047C
RPS0B,YLR048W
FCF2,YLR051C
IES3,YLR052W
OSW2,YLR054C
SPT8,YLR055C
ERG3,YLR056W
MNL2,YLR057W
SHM2,YLR058C
REX2,YLR059C
FRS1,YLR060W
RPL22A,YLR061W
BUD28,YLR062C
BMT6,YLR063W
PER33,YLR064W
ENV10,YLR065C
SPC3,YLR066W
PET309,YLR067C
FYV7,YLR068W
MEF1,YLR069C
XYL2,YLR070C
RGR1,YLR071C
LAM6,YLR072W
RFU1,YLR073C
BUD20,YLR074C
RPL10,YLR075W
FMP25,YLR077W
BOS1,YLR078C
SIC1,YLR079W
EMP46,YLR080W
GAL2,YLR081W
SRL2,YLR082C
EMP70,YLR083C
RAX2,YLR084C
ARP6,YLR085C
SMC4,YLR086W
CSF1,YLR087C
GAA1,YLR088W
ALT1,YLR089C
XDJ1,YLR090W
GEP5,YLR091W
SUL2,YLR092W
NYV1,YLR093C
GIS3,YLR094C
IOC2,YLR095C
KIN2,YLR096W
HRT3,YLR097C
CHA4,YLR098C
ICT1,YLR099C
MIM2,YLR099W-A
ERG27,YLR100W
APC9,YLR102C
CDC45,YLR103C
LCL2,YLR104W
SEN2,YLR105C
SNR79,snR79
MDN1,YLR106C
REX3,YLR107W
SNR6,snR6
AHP1,YLR109W
CCW12,YLR110C
HOG1,YLR113W
AVL9,YLR114C
CFT2,YLR115W
MSL5,YLR116W
CLF1,YLR117C
SRN2,YLR119W
YPS1,YLR120C
YPS3,YLR121C
APC2,YLR127C
DCN1,YLR128W
DIP2,YLR129W
ZRT2,YLR130C
ACE2,YLR131C
USB1,YLR132C
CKI1,YLR133W
PDC5,YLR134W
SLX4,YLR135W
TIS11,YLR136C
RKM5,YLR137W
NHA1,YLR138W
SLS1,"YLR139C,YOL031C"
RRN5,YLR141W
PUT1,YLR142W
DPH6,YLR143W
ACF2,YLR144C
RMP1,YLR145W
SPE4,YLR146C
SMD3,YLR147C
PEP3,YLR148W
STM1,"YLR150W,YPR163C"
PCD1,YLR151C
ACS2,YLR153C
RNH203,YLR154C
ETS2-1,ETS2-1
TAR1,YLR154W-C
RDN25-1,RDN25-1
ITS2-1,ITS2-1
RDN58-1,RDN58-1
ITS1-1,ITS1-1
RDN18-1,RDN18-1
RDN37-1,RDN37-1
ETS1-1,ETS1-1
NTS2-1,NTS2-1
RDN5-1,RDN5-1
NTS1-2,NTS1-2
ETS2-2,ETS2-2
RDN25-2,RDN25-2
ITS2-2,ITS2-2
RDN58-2,RDN58-2
ITS1-2,ITS1-2
RDN18-2,RDN18-2
RDN37-2,RDN37-2
ETS1-2,ETS1-2
NTS2-2,NTS2-2
RDN5-2,RDN5-2
ASP3-1,YLR155C
RDN5-3,RDN5-3
ASP3-2,YLR157C
RDN5-4,RDN5-4
ASP3-3,YLR158C
RDN5-5,RDN5-5
ASP3-4,YLR160C
RDN5-6,RDN5-6
RRT15,YLR162W-A
MAS1,YLR163C
SHH4,YLR164W
PUS5,YLR165C
SEC10,YLR166C
RPS31,YLR167W
UPS2,YLR168C
APS1,YLR170C
DPH5,YLR172C
IDP2,YLR174W
CBF5,YLR175W
RFX1,YLR176C
TFS1,YLR178C
SAM1,YLR180W
VTA1,YLR181C
SWI6,YLR182W
TOS4,YLR183C
RPL37A,"YLR185W,YPL143W"
EMG1,YLR186W
SKG3,YLR187W
MDL1,YLR188W
ATG26,YLR189C
MMR1,YLR190W
PEX13,YLR191W
HCR1,YLR192C
UPS1,YLR193C
NCW2,YLR194C
NMT1,YLR195C
PWP1,YLR196W
NOP56,YLR197W
PBA1,YLR199C
YKE2,YLR200W
COQ9,YLR201C
MSS51,YLR203C
QRI5,YLR204W
HMX1,YLR205C
ENT2,YLR206W
HRD3,YLR207W
SEC13,YLR208W
PNP1,YLR209C
CLB4,YLR210W
ATG38,YLR211C
TUB4,YLR212C
CRR1,YLR213C
FRE1,YLR214W
CDC123,YLR215C
CPR6,YLR216C
COA4,YLR218C
MSC3,YLR219W
CCC1,YLR220W
RSA3,YLR221C
UTP13,YLR222C
IFH1,YLR223C
UCC1,YLR224W
BUR2,YLR226W
ADY4,YLR227C
ECM22,YLR228C
CDC42,YLR229C
BNA5,YLR231C
EST1,YLR233C
TOP3,YLR234W
THI7,YLR237W
FAR10,YLR238W
LIP2,YLR239C
VPS34,YLR240W
CSC1,"YLR241W,YPR173C"
ARV1,YLR242C
GPN3,YLR243W
MAP1,YLR244C
CDD1,YLR245C
ERF2,YLR246W
IRC20,YLR247C
RCK2,YLR248W
YEF3,YLR249W
SSP120,YLR250W
SYM1,YLR251W
MCP2,YLR253W
NDL1,YLR254C
HAP1,"YLR256W,YPL101W"
GSY2,YLR258W
HSP60,YLR259C
LCB5,YLR260W
VPS63,YLR261C
YPT6,YLR262C
TMA7,YLR262C-A
RED1,YLR263W
RPS28B,YLR264W
NEJ1,YLR265C
PDR8,YLR266C
BOP2,YLR267W
SEC22,YLR268W
DCS1,YLR270W
CMG1,YLR271W
YCS4,YLR272C
PIG1,YLR273C
MCM5,YLR274W
SMD2,YLR275W
DBP9,YLR276C
YSH1,YLR277C
ECI1,YLR284C
NNT1,YLR285W
CTS1,YLR286C
RPS30A,YLR287C-A
MEC3,YLR288C
GUF1,YLR289W
COQ11,YLR290C
GCD7,YLR291C
SEC72,YLR292C
GSP1,YLR293C
ATP14,YLR295C
YHC1,YLR298C
ECM38,YLR299W
EXG1,YLR300W
HRI1,YLR301W
MET17,YLR303W
ACO1,YLR304C
STT4,YLR305C
UBC12,YLR306W
CDA1,YLR307W
CDA2,YLR308W
IMH1,YLR309C
CDC25,YLR310C
ATG39,YLR312C
MRPL15,YLR312W-A
SPH1,YLR313C
CDC3,YLR314C
NKP2,YLR315W
TAD3,YLR316C
EST2,YLR318W
BUD6,YLR319C
MMS22,YLR320W
VPS65,YLR322W
SFH1,"YKL091C,YLR321C"
CWC24,YLR323C
PEX30,YLR324W
RPL38,YLR325C
TMA10,YLR327C
NMA1,YLR328W
REC102,YLR329W
CHS5,YLR330W
MID2,YLR332W
JIP3,YLR331C
SNR61,snR61
SNR55,snR55
SNR57,snR57
RPS25B,YLR333C
NUP2,YLR335W
SGD1,YLR336C
OPI9,YLR338W
VRP1,YLR337C
RPP0,YLR340W
SPO77,YLR341W
FKS1,YLR342W
GAS2,YLR343W
TRR4,tR(CCG)L
RPL26A,YLR344W
CIS1,"YDR022C,YLR346C"
KAP95,YLR347C
DIC1,YLR348C
ORM2,YLR350W
NIT3,YLR351C
BUD8,YLR353W
TAL1,YLR354C
ILV5,YLR355C
ATG33,YLR356W
RSC2,YLR357W
ADE13,YLR359W
VPS38,YLR360W
DCR2,YLR361C
STE11,YLR362W
NMD4,YLR363C
GRX8,YLR364W
RPS22B,YLR367W
SNR44,snR44
MDM30,YLR368W
SSQ1,YLR369W
ARC18,YLR370C
ROM2,YLR371W
ELO3,YLR372W
VID22,YLR373C
STP3,YLR375W
PSY3,YLR376C
FBP1,YLR377C
SEC61,YLR378C
CSR1,YLR380W
CTF3,YLR381W
NAM2,YLR382C
SMC6,YLR383W
IKI3,YLR384C
SWC7,YLR385C
VAC14,YLR386W
REH1,YLR387C
RPS29A,YLR388W
SNR34,snR34
STE23,YLR389C
ECM19,YLR390W
CCW14,YLR390W-A
ART10,YLR392C
ATP10,YLR393W
CST9,YLR394W
COX8,YLR395C
VPS33,YLR396C
AFG2,YLR397C
SKI2,YLR398C
BDF1,YLR399C
DUS3,YLR401C
SFP1,YLR403W
SEI1,YLR404W
DUS4,YLR405W
RPL31B,YLR406C
BLS1,"YLR408C,YNL086W"
UTP21,YLR409C
VIP1,YLR410W
CTR3,YLR411W
BER1,YLR412W
INA1,YLR413W
PUN1,YLR414C
VPS36,YLR417W
CDC73,YLR418C
URA4,YLR420W
RPN13,YLR421C
DCK1,YLR422W
ATG17,YLR423C
SPP382,YLR424W
TUS1,YLR425W
TDA5,YLR426W
MAG2,YLR427W
CRN1,YLR429W
SEN1,YLR430W
ATG23,YLR431C
IMD3,YLR432W
CNA1,YLR433C
TSR2,YLR435W
ECM30,YLR436C
DIF1,YLR437C
CAR2,YLR438W
LSM3,YLR438C-A
MRPL4,YLR439W
SEC39,YLR440C
RPS1A,YLR441C
SIR3,YLR442C
ECM7,YLR443W
GMC2,YLR445W
VMA6,YLR447C
RPL6B,YLR448W
FPR4,YLR449W
HMG2,YLR450W
LEU3,YLR451W
SST2,YLR452C
RIF2,YLR453C
FMP27,YLR454W
PDP3,YLR455W
NBP1,YLR457C
GAB1,YLR459W
PAU4,YLR461W
YRF1-4,YLR466W
BSC3,YLR465C
YRF1-5,YLR467W
COS3,YML132W
ERO1,YML130C
COX14,YML129C
MSC1,YML128C
RSC9,YML127W
ERG13,YML126C
PGA3,YML125C
TUB3,YML124C
PHO84,YML123C
GTR1,YML121W
NDI1,YML120C
NGL3,YML118W
NAB6,YML117W
ATR1,YML116W
VAN1,YML115C
TAF8,YML114C
DAT1,YML113W
CTK3,YML112W
BUL2,YML111W
COQ5,YML110C
ZDS2,YML109W
PML39,YML107C
URA5,YML106W
SEC65,YML105C
MDM1,YML104C
NUP188,YML103C
SNR85,snR85
CAC2,YML102W
CUE4,YML101C
TSL1,"YER155C,YML100W"
ARG81,YML099C
TAF13,YML098W
VPS9,YML097C
RAD10,YML095C
GIM5,YML094W
UTP14,YML093W
PRE8,YML092C
RPM2,YML091C
ZOD1,ZOD1
UFO1,YML088W
AIM33,YML087C
ALO1,YML086C
TUB1,YML085C
ATP18,YML081C-A
TDA9,YML081W
DUS1,YML080W
CPR3,YML078W
BET5,YML077W
WAR1,YML076C
HMG1,YML075C
FPR3,YML074C
RPL6A,YML073C
TCB3,YML072C
COG8,YML071C
DAK1,YML070W
POB3,YML069W
ITT1,YML068W
ERV41,YML067C
SMA2,YML066C
ORC1,YML065W
TEM1,YML064C
RPS1B,YML063W
MFT1,"YML062C,YMR177W"
PIF1,YML061C
OGG1,YML060W
NTE1,YML059C
HUG1,YML058W-A
SML1,YML058W
CMP2,YML057W
SNR54,snR54
IMD4,YML056C
SPC2,YML055W
CYB2,YML054C
SUP5,tY(GUA)M1
SUR7,YML052W
GAL80,YML051W
